OBJECTID;estacion;Nom_Est;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Porc_datos;Celda_XY;Cont_celda;Depto;Mpio;AH;ZSZH;x;y;NombrEst;NOMBRE_VER;SUBREGION
25954;11045030;HUAPANGO;71;77;67;2;100;85;17;29;54;47;76;20;62;73;80;70;60;0;88;6;9;90;27;56;100;42;8;85;59;40;83;22;86;90;69;9;89;11;21;98;45;69;98;39;80;45;8;52;39;49;71;32;5;(3-3);7;Chocó;Quibdó;Caribe;DariénRíoCabiyotrosDirectosAtrato(md);4597581,449000;2189108,056000;HUAPANGO [11045030];SIN DEFINIR;
25894;11050010;Tagachi;11;2;18;18;58;57;80;43;64;87;91;98;10;4;14;20;22;40;90;60;46;46;66;33;77;63;87;94;53;2;73;72;49;79;35;1;15;57;96;44;6;20;60;28;29;62;36;93;59;73;70;53;97;(4-3);4;Chocó;Quibdó;Caribe;DariénDirectosAtratoentreRíosBebaramáyMurrí(md);4587580,666000;2246950,092000;TAGACHI [11050010];TAGACHI;
26613;11050020;BETE;59;38;3;47;23;82;4;1;87;50;81;33;27;27;41;36;49;59;71;85;54;67;86;61;13;6;35;76;16;38;39;53;17;34;47;66;69;24;36;93;42;76;49;97;10;77;17;67;23;35;6;16;76;(4-3);4;Chocó;MedioAtrato(Beté);Caribe;Darién;4581530,792000;2221848,760000;BETE [1105002];BETE;
26675;11050030;ElBuey;48;42;8;25;11;18;41;37;36;31;17;88;92;45;75;61;4;94;98;74;17;16;40;98;29;71;34;57;40;38;74;80;82;70;49;6;57;87;28;44;14;100;30;31;100;39;29;6;86;90;69;63;83;(4-3);4;Chocó;MedioAtrato(Beté);Caribe;DariénDirectosAtratoentreRíosQuitoyBojayá(mi);4577032,325000;2233815,919000;BUEY EL [1105003];SIN DEFINIR;
25724;11050040;CALAORRA;37;31;45;75;38;81;36;72;5;56;99;65;4;7;11;51;7;20;63;25;52;47;38;78;44;10;41;94;3;88;9;96;7;85;4;18;91;3;20;7;50;16;44;20;53;91;44;85;60;71;93;2;28;(3-3);7;Chocó;Quibdó;Caribe;DariénDirectosAtratoentreRíosQuitoyBojayá(mi);4573598,958000;2196647,054000;CALAORRA [11050040];SIN DEFINIR;
25370;11050060;AltodelBuey;90;70;9;39;18;79;2;38;72;20;14;13;58;12;59;43;28;98;14;83;71;78;0;97;94;0;92;41;24;7;31;16;42;28;44;11;26;53;58;49;52;7;68;98;74;84;10;24;91;6;87;66;85;(4-3);4;Chocó;MedioAtrato(Beté);Caribe;DariénDirectosAtratoentreRíosQuitoyBojayá(mi);4566586,068000;2234537,107000;ALTO DEL BUEY [11050060];SIN DEFINIR;
18825;11060010;BUCHADO;95;83;1;5;58;23;52;33;19;63;49;66;32;75;1;82;85;91;4;31;21;100;4;31;72;12;55;34;64;74;48;35;44;82;83;62;89;85;79;11;0;21;87;28;40;24;61;17;42;41;64;61;99;(5-3);4;Antioquia;VigiaDelFuerte;Caribe;DariénDirectosAtratoentreRíosBebaramáyMurrí(md);4581950,314000;2268941,556000;BUCHADO [11060010];BUCHADO;URABA
18843;11070020;ElRoble;45;47;41;56;23;87;73;70;55;65;12;96;99;41;83;30;36;12;69;7;76;35;45;95;38;78;94;63;12;47;96;80;65;35;46;11;4;98;37;4;46;22;29;76;32;45;77;28;92;85;100;71;85;(5-4);2;Antioquia;Urrao;Caribe;DariénRíoMurrí;4642870,916000;2258809,478000;ROBLE EL [11070020];CROBUGO MEDIO;SUROESTE
18025;11070030;LaClarita;73;64;77;19;73;25;80;9;2;16;33;97;49;3;46;57;52;53;58;61;89;55;97;76;79;29;9;3;70;11;19;15;28;1;12;54;59;36;42;39;83;58;92;54;96;8;4;95;96;38;25;21;83;(5-5);18;Antioquia;Urrao;Caribe;DariénRíoMurrí;4650763,535000;2281693,974000;CLARITA LA [11070030];LA CLARA;SUROESTE
18905;11070040;URRAO;50;91;39;99;27;20;7;57;67;52;49;33;90;66;73;75;50;6;9;16;91;46;32;29;15;9;23;39;32;46;17;67;73;50;5;42;96;73;92;29;72;11;25;100;47;15;29;58;24;1;5;71;6;(5-4);2;Antioquia;Urrao;Caribe;DariénRíoMurrí;4649730,506000;2258890,175000;URRAO [11070040];LA FLORIDA;SUROESTE
18977;11070130;BRECHONEL;39;43;20;48;90;56;71;50;2;80;71;98;68;20;23;28;27;23;36;52;32;83;22;50;57;48;78;34;86;40;81;2;63;99;95;5;7;90;30;12;23;66;93;63;36;69;79;75;88;50;70;18;56;(4-5);12;Antioquia;Urrao;Caribe;DariénRíoMurrí;4664365,208000;2236671,722000;BRECHON EL [11070130];PENDERISON ARRIBA;SUROESTE
18904;11075010;LaHonda;65;80;61;10;55;8;88;1;51;88;37;46;3;74;12;43;43;44;13;40;83;84;45;95;3;63;94;70;36;3;3;24;98;40;43;34;27;56;69;76;50;69;83;84;6;78;83;23;38;7;35;2;38;(5-5);18;Antioquia;Urrao;Caribe;DariénRíoMurrí;4650699,500000;2261435,794000;HONDA LA [11075010];LA VENTA;SUROESTE
18857;11075020;URRAO;4;99;9;14;17;47;27;68;8;50;77;41;82;48;77;92;97;98;81;7;27;75;7;97;24;41;5;34;1;54;57;38;37;60;83;90;76;4;75;88;14;91;33;100;56;16;40;62;22;58;57;54;83;(5-5);18;Antioquia;Urrao;Caribe;DariénRíoMurrí;4652293,652000;2254998,176000;URRAO [11075020];LA MAGDALENA;SUROESTE
18135;11077030;LaPlaya;55;65;50;71;31;26;5;89;86;85;81;4;8;98;44;84;53;37;15;63;0;45;42;38;62;21;55;97;41;19;50;73;96;81;25;77;27;95;10;37;32;20;53;29;54;48;61;67;57;9;0;90;61;(5-3);4;Antioquia;VigiaDelFuerte;Caribe;DariénRíoMurrí;4585355,518000;2290695,114000;PLAYA LA [11077030];VUELTA CORTADA;URABA
26193;11080010;Bellavista;75;86;72;93;96;89;41;72;35;1;21;34;30;78;18;61;75;6;46;51;28;95;31;1;54;87;38;76;18;85;89;28;31;44;27;13;81;34;67;71;58;99;74;94;70;13;23;7;94;16;13;79;99;(5-3);4;Chocó;Bojayá(Bellavista);Caribe;DariénDirectosAtratoentreRíosQuitoyBojayá(mi);4570310,489000;2284442,297000;BELLAVISTA [11080010];SIN DEFINIR;
26264;11085010;LOMALA;10;1;8;16;39;24;25;26;59;83;42;65;64;79;82;66;29;99;82;14;84;72;40;100;22;21;93;39;55;34;51;17;94;63;52;22;35;11;1;7;21;88;14;30;97;76;5;32;74;40;16;57;47;(5-3);4;Chocó;Bojayá(Bellavista);Caribe;DariénRíoBojayá;4559442,216000;2281666,137000;LOMA LA [11085010];SIN DEFINIR;
26246;11090010;OPOGADO;49;44;42;43;63;5;46;75;66;93;96;14;28;73;10;100;9;22;16;3;32;25;78;15;72;58;55;90;33;90;56;99;18;66;14;10;98;52;91;35;25;15;92;8;78;54;45;95;13;100;9;93;84;(6-3);4;Chocó;Bojayá(Bellavista);Caribe;DariénRíoNapipíRíoOpogadó;4560867,222000;2312580,830000;OPOGADO [11090010];SIN DEFINIR;
29141;11100010;VIGIADECURVARADO;99;9;83;79;26;60;96;18;19;40;13;36;13;100;67;94;36;39;52;53;48;77;53;71;93;94;79;2;99;25;18;34;88;28;56;33;53;26;69;59;91;81;59;99;14;68;33;21;61;64;30;71;45;(6-3);4;Chocó;CarmenDelDarién(Curbaradó);Caribe;DariénRíoMurindóDirectosalAtrato;4567321,371000;2342523,093000;VIGIA DE CURVARADO [11100010];SIN DEFINIR;
27650;11100020;DOMINGODO;81;59;14;27;30;94;73;39;60;23;30;70;49;53;70;44;85;90;54;84;97;39;84;10;12;29;42;52;24;17;70;59;66;49;73;72;92;95;9;75;31;32;6;49;1;68;54;75;75;48;97;67;85;(7-3);4;Chocó;CarmenDelDarién(Curbaradó);Caribe;DariénRíoSucio;4554875,069000;2353338,285000;DOMINGODO [11100020];LAS MERCEDES;
19583;11100030;MURINDO;43;7;78;63;63;60;57;5;64;66;78;48;98;17;65;34;73;29;19;23;63;6;47;60;28;77;50;73;87;53;18;53;5;97;86;27;93;36;10;39;53;22;35;74;55;7;0;14;92;96;47;15;8;(6-3);4;Antioquia;Murindó;Caribe;DariénRíoMurindóDirectosalAtrato;4585685,349000;2333142,911000;MURINDO [11100030];CANAL;URABA
17940;11105010;MURINDO;94;64;16;73;98;11;4;8;51;30;69;11;38;6;23;27;39;55;24;62;41;31;10;77;91;80;87;12;9;19;89;3;44;49;20;43;29;73;60;66;46;11;24;25;6;8;51;24;45;31;28;65;15;(6-3);4;Antioquia;Murindó;Caribe;DariénRíoMurindóDirectosalAtrato;4585655,934000;2329451,783000;MURINDO [11105010];MURINDO VIEJO;URABA
0;11110010;NORMALSANTATERESA;13;15;17;11;34;32;17;1;14;57;35;35;45;31;75;75;95;44;14;100;91;94;100;17;15;24;37;7;57;84;24;67;33;73;74;80;19;51;6;17;19;59;41;26;69;35;0;31;82;95;53;18;98;(6-5);8;Antioquia;Frontino;Caribe;DariénRíoSucio;4653687,526000;2306452,828000;NORMAL SANTA TERESA [11110010];;OCCIDENTE
22072;11110020;ABRIAQUI;64;78;58;25;18;55;73;53;69;36;86;76;7;95;91;24;4;7;35;8;33;48;41;68;10;88;47;71;6;38;87;68;97;15;82;30;0;100;92;3;73;62;68;92;43;100;80;86;33;2;2;25;89;(5-5);18;Antioquia;Abriaquí;Caribe;DariénRíoSucio;4660087,269000;2293040,368000;ABRIAQUI [11110020];LAS JUNTAS;OCCIDENTE
18816;11110030;FUEMIA;4;66;63;76;72;21;67;89;12;72;28;92;3;26;25;68;9;52;55;49;69;64;51;70;74;8;6;5;1;91;41;34;37;4;46;57;73;76;67;81;7;12;94;99;37;66;6;48;14;52;65;46;83;(6-4);3;Antioquia;Frontino;Caribe;DariénRíoSucio;4640636,268000;2317022,497000;FUEMIA [11110030];FUEMIA;OCCIDENTE
10997;11110040;CANASGORDAS;21;75;26;93;35;90;88;66;6;36;29;42;60;65;55;62;45;15;78;70;1;12;15;9;24;2;45;44;41;27;48;84;49;82;95;71;20;27;6;50;100;70;29;53;87;13;84;70;53;0;60;9;6;(6-5);8;Antioquia;Cañasgordas;Caribe;DariénRíoSucio;4664770,884000;2304907,083000;CANASGORDAS [11110040];MEDIA CUESTA;OCCIDENTE
10991;11110110;BoqueróndeToyo;97;27;0;71;70;40;52;46;73;93;69;83;49;100;33;83;50;2;19;32;28;53;35;48;91;31;80;66;63;86;83;8;65;40;10;37;51;46;33;37;78;65;61;87;67;68;19;100;19;93;26;22;47;(5-5);18;Antioquia;Giraldo;Caribe;DariénRíoSucio;4670912,731000;2299275,135000;BOQUERON DE TOYO [11110110];CIRIGUAN;OCCIDENTE
0;11115020;CañasgordasAut;59;63;54;19;27;5;72;87;37;67;46;87;13;53;97;36;55;15;86;25;95;71;47;25;66;96;96;76;25;35;20;41;27;98;75;51;82;41;98;0;4;81;37;22;23;7;39;55;40;64;47;31;89;(6-5);8;Antioquia;Cañasgordas;Caribe;AtratoDariénRíoSucio;4665182,005000;2305792,853000;CañaSGORDAS - AUT [11115020];;OCCIDENTE
19013;11115030;NUTIBARA;0;10;10;71;4;27;50;21;17;29;47;36;76;20;62;91;80;85;60;30;3;100;9;89;16;58;22;42;23;59;90;63;4;59;10;14;17;18;13;27;47;35;61;31;45;85;64;91;47;100;71;94;14;(6-4);3;Antioquia;Frontino;Caribe;DariénRíoSucio;4640851,109000;2312440,087000;NUTIBARA [11115030];LA CAMPEONA;OCCIDENTE
19020;11115040;MUSINGA;67;31;60;25;41;34;74;50;80;81;52;17;92;98;10;93;7;20;23;79;93;62;61;31;97;26;80;63;96;45;79;25;35;95;64;18;43;53;38;7;21;75;78;58;7;16;74;6;99;34;32;17;68;(6-4);3;Antioquia;Frontino;Caribe;DariénRíoSucio;4645985,052000;2308123,206000;MUSINGA [11115040];MUCINGA;OCCIDENTE
25580;11120010;SALAQUI;54;81;41;76;89;98;98;85;4;1;0;44;84;33;13;56;58;23;78;31;64;87;54;81;86;90;38;16;58;13;26;83;33;76;42;85;85;89;92;71;98;38;2;5;24;38;56;22;64;18;70;81;10;(7-2);4;Chocó;Riosucio;Caribe;DariénRíoSalaquíyotrosdirectosBajoAtrato;4527111,661000;2381663,574000;SALAQUI [11120010];SIN DEFINIR;
25588;11120040;RIOSUCIO;65;11;66;44;8;11;4;20;67;51;51;45;34;59;92;45;77;91;17;94;0;2;33;31;24;37;16;94;79;80;65;75;97;2;5;35;89;36;43;5;76;14;59;45;55;79;45;85;13;69;18;76;80;(7-2);4;Chocó;Riosucio;Caribe;DariénRíoSucio;4545703,357000;2382164,029000;RIOSUCIO [11120040];SIN DEFINIR;
25602;11125010;TERESITALA;36;15;28;24;73;60;56;68;52;72;5;58;28;79;30;7;13;55;93;35;48;31;54;70;84;3;83;35;63;15;10;98;47;3;69;9;52;63;36;63;68;45;96;63;2;83;86;49;90;32;99;16;38;(6-2);2;Chocó;Riosucio;Caribe;DariénRíoSalaquíyotrosdirectosBajoAtrato;4502669,579000;2333872,595000;TERESITA LA [11125010];SIN DEFINIR;
25585;11130020;HONDALA;73;63;79;59;9;39;18;62;91;38;98;21;15;31;43;12;39;45;21;99;50;94;97;0;23;18;33;0;14;50;73;33;56;53;74;76;83;59;70;13;15;97;83;53;12;36;35;15;56;71;64;52;71;(7-2);4;Chocó;Riosucio;Caribe;DariénRíoSalaquíyotrosdirectosBajoAtrato;4544710,137000;2397376,641000;HONDA LA [11130020];SIN DEFINIR;
25604;11130030;SAUTATA;89;100;9;21;95;5;42;26;39;33;19;76;52;85;32;61;1;84;88;76;29;41;38;50;41;54;97;37;64;57;87;90;81;7;75;27;30;22;34;29;17;46;39;89;32;60;90;54;6;63;2;69;2;(8-2);3;Chocó;Riosucio;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4540479,932000;2429549,179000;SAUTATA [11130030];PUEBLO REGADO;
25666;11135010;SAUTATA;52;34;60;50;43;56;10;90;66;98;69;66;14;84;13;40;83;22;61;48;92;30;0;74;68;17;39;17;98;10;34;94;30;25;10;80;6;50;50;51;98;50;93;68;74;9;6;93;22;12;39;32;53;(8-2);3;Chocó;Riosucio;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4545985,268000;2427648,041000;SAUTATA [11135010];SIN DEFINIR;
25585;11135020;BALSALA;92;74;96;57;79;5;73;10;97;97;4;16;60;100;56;29;68;82;64;78;66;99;35;8;19;24;1;67;33;48;14;43;83;48;88;68;61;1;6;82;0;13;56;3;23;25;27;70;48;41;34;43;11;(7-2);4;Chocó;Riosucio;Caribe;DariénRíoSalaquíyotrosdirectosBajoAtrato;4536416,253000;2390807,972000;BALSA LA [11135020];SIN DEFINIR;
19242;11135030;UnguiaAut;97;95;1;78;43;13;27;20;36;37;67;52;49;49;77;3;80;99;39;31;32;38;1;72;57;52;51;32;11;69;79;91;65;14;18;82;51;90;60;31;21;92;4;61;71;44;94;54;87;61;27;6;89;(8-2);3;Chocó;Unguía;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4549371,699000;2448301,937000;UNGUIA - AUT [11135030];UNGUIA;
18313;11140010;MARIRRIO;33;58;31;44;53;50;91;57;45;68;90;20;84;50;15;43;46;65;52;48;59;73;70;93;79;87;2;96;24;82;45;85;28;41;5;59;25;68;69;35;75;58;61;26;64;7;83;88;99;63;5;59;3;(8-3);18;Antioquia;Turbo;Caribe;DariénDirectosBajoAtratoentreRíoSucioydesembocadura;4564553,472000;2444084,995000;MARIRRIO [11140010];LEONCITO;URABA
11663;11145010;BAJIRA;75;17;94;7;49;28;55;20;88;3;43;10;46;69;28;99;63;77;84;60;25;63;5;8;93;26;49;34;31;45;66;63;49;58;45;86;89;8;61;30;14;20;25;1;43;28;96;8;79;25;55;99;15;(7-3);4;Chocó;Riosucio;Caribe;DariénRíoSucio;4595245,291000;2375514,375000;BAJIRA [11145010];LOS CEDROS;URABA
19244;11150010;TITUMATE;10;95;28;24;11;7;6;61;27;93;48;44;14;90;98;87;100;13;19;8;18;29;72;53;26;50;70;86;66;82;47;99;89;21;11;5;42;6;38;52;19;46;62;55;38;89;58;21;45;80;97;76;87;(9-3);7;Chocó;Unguía;Caribe;DariénRíoToloyotrosDirectosalCaribe;4551004,237000;2478346,694000;TITUMATE [11150010];TITUMATE;
19246;11150020;TANELA;28;44;17;65;65;59;88;26;27;4;97;37;3;27;47;22;90;21;61;90;31;7;46;77;90;86;32;80;2;25;3;50;23;19;43;26;83;22;65;68;69;82;35;40;43;61;83;81;66;75;60;11;87;(9-3);7;Chocó;Unguía;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4554749,350000;2462228,962000;TANELA [11150020];SANTA MARIA;
0;11150030;ACANDI;91;69;92;86;72;8;1;11;63;81;60;41;51;72;24;94;44;84;10;53;94;99;87;39;21;33;14;4;83;23;66;44;59;73;79;69;73;74;13;97;86;74;87;3;84;97;73;16;15;12;10;4;77;(10-2);2;Chocó;Acandí;Caribe;DariénRíoToloyotrosDirectosalCaribe;4529081,226000;2503266,188000;ACANDI [11150030];;
27077;11155010;PLAYALA;5;12;1;2;44;82;49;64;42;62;75;7;65;74;87;30;6;24;14;28;44;24;41;17;87;73;56;67;63;87;6;95;81;77;12;46;98;67;5;94;6;9;24;6;34;46;14;50;37;37;77;43;10;(10-2);2;Chocó;Acandí;Caribe;DariénRíoToloyotrosDirectosalCaribe;4528379,585000;2503551,032000;PLAYA LA [11155010];SIN DEFINIR;
19244;11155020;GLORIALA;43;63;50;80;65;66;88;21;83;98;91;43;22;22;66;5;62;45;55;68;64;91;78;71;23;55;4;17;85;51;80;59;0;43;70;13;60;13;1;42;10;48;41;17;97;40;81;70;50;100;96;7;3;(9-3);7;Chocó;Unguía;Caribe;DariénRíoTanelayotrosDirectosalCaribe;4551968,694000;2473751,313000;GLORIA LA [11155020];TITUMATE;
18043;12010010;TORMENTOEL;32;26;56;21;31;1;51;9;33;26;41;42;38;58;59;45;0;67;82;84;89;15;8;21;85;18;40;61;24;34;46;64;64;78;48;61;61;48;56;31;0;64;81;84;63;3;15;11;98;95;30;44;92;(8-3);18;Antioquia;Turbo;Caribe;LitoralRíoLeón;4574771,938000;2418113,392000;TORMENTO EL [12010010];LOS MANGOS MEDIOS;URABA
11009;12010030;BARRANQUILLITA;35;100;19;69;37;50;59;19;89;62;91;62;78;15;80;100;1;19;29;48;24;31;44;71;42;57;51;62;89;82;98;65;28;4;69;82;64;89;95;98;25;82;19;35;2;68;98;48;34;44;93;28;88;(7-3);4;Antioquia;Chigorodó;Caribe;LitoralRíoLeón;4591734,670000;2396214,287000;BARRANQUILLITA [12010030];EL VENADO;URABA
11934;12010040;TULENAPA;76;40;83;23;100;99;95;85;66;43;7;12;53;96;29;62;38;82;32;75;65;46;25;50;93;4;1;11;96;17;15;13;14;56;93;16;15;30;96;38;1;35;55;25;51;57;60;73;96;95;66;78;15;(8-3);18;Antioquia;Chigorodó;Caribe;LitoralRíoLeón;4595508,580000;2406886,515000;TULENAPA [12010040];LA RIVERA;URABA
11039;12010050;TOSCANALA;97;3;3;4;26;97;20;16;29;93;97;76;42;45;83;36;84;59;79;26;69;9;28;79;55;21;25;18;16;96;39;25;19;6;47;66;15;48;31;89;65;56;89;77;5;99;89;89;45;30;28;13;76;(8-3);18;Antioquia;Carepa;Caribe;LitoralRíoLeón;4591625,324000;2422577,077000;TOSCANA LA [12010050];ZARABANA;URABA
21775;12010060;LORENALA;15;57;24;40;19;60;57;80;79;34;74;87;98;87;91;2;19;8;42;90;60;58;13;56;29;86;76;73;85;10;46;80;29;70;49;87;94;70;23;67;9;22;93;26;21;35;51;31;66;26;49;59;81;(8-3);18;Antioquia;Apartadó;Caribe;LitoralRíoLeón;4593212,590000;2428653,703000;LORENA LA [12010060];VEREDA CHURIDO;URABA
22004;12010070;CASCOEL;71;73;60;74;98;55;79;13;20;100;13;6;46;22;55;40;7;78;63;67;94;62;80;96;87;26;56;93;33;45;24;54;6;87;100;17;87;26;17;2;72;11;27;57;33;87;67;82;60;66;15;25;83;(8-3);18;Antioquia;Apartadó;Caribe;LitoralRíoLeón;4597803,053000;2430981,881000;CASCO EL [12010070];VEREDA EL SALVADOR;URABA
11178;12010080;SANTAISABEL;34;59;25;82;33;4;17;53;13;36;57;45;58;54;67;58;71;13;56;100;86;94;16;39;53;0;91;13;98;7;4;94;37;26;66;6;49;91;40;71;47;78;90;86;96;79;5;48;87;29;23;19;31;(8-3);18;Antioquia;Carepa;Caribe;LitoralRíoLeón;4595587,893000;2416113,660000;SANTA ISABEL [12010080];LA CADENA;URABA
11040;12010090;TRIGANA;21;25;44;20;74;55;52;49;35;4;94;81;74;90;7;24;0;6;34;34;64;14;47;73;20;11;27;99;64;40;70;44;24;3;52;84;10;54;94;7;97;43;82;52;24;4;84;88;66;63;59;83;83;(8-3);18;Antioquia;Carepa;Caribe;LitoralRíoLeón;4590591,147000;2415898,716000;TRIGANA [12010090];EL ENCANTO;URABA
18309;12010100;EUPOL;61;92;56;98;38;4;14;85;98;7;6;38;28;69;24;38;78;28;85;50;65;77;44;67;31;66;79;62;85;71;65;75;88;30;70;33;100;20;48;11;42;17;51;73;27;67;73;50;15;80;100;81;78;(8-4);15;Antioquia;Turbo;Caribe;LitoralRíoLeón;4601216,889000;2437715,842000;EUPOL [12010100];AGUAS FRIAS;URABA
18255;12010110;PRADOMAR;14;72;18;8;89;67;89;36;32;31;76;12;91;45;61;0;41;68;0;92;18;42;69;76;52;31;83;98;92;7;14;38;38;8;24;49;55;32;64;91;78;81;87;50;19;17;89;4;85;61;21;44;84;(8-3);18;Antioquia;Turbo;Caribe;LitoralRíoMulatosyotrosdirectosalCaribe;4598924,374000;2442374,365000;PRADO MAR [12010110];COMUNAL LA SUERTE;URABA
18061;12010120;SANTAMARTHA;65;19;70;40;69;35;52;72;82;69;65;77;31;96;100;4;93;49;24;90;65;19;32;1;14;24;33;46;42;32;42;62;95;45;1;65;91;95;13;15;79;22;21;21;44;37;25;54;47;73;27;93;84;(8-3);18;Antioquia;Turbo;Caribe;LitoralRíoLeón;4597697,167000;2435344,447000;SANTA MARTHA [12010120];PALOS BLANCOS;URABA
